#OTU ID	029SS	116JS	129GP	46	215	300	023TD	077SF	193MR	152JF	179TH	115RW	HG113	043RB	063CG	149SD	HG237	282	843	895	2123	120NG	12	710	128TW	164JO	HG216	064DB	453	198LW
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Anaerostipes	29	10	4	23	35	3	21	1	0	0	7	3	2	3	4	0	2	348	0	7	881	3	132	65	1	4	8	2	3	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Blautia	2	10	24	154	76	19	74	16	8	3	38	29	39	6	26	5	63	54	57	145	249	59	302	172	4	15	39	0	109	40
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVa	1	4	25	35	6	2	1	1	0	3	21	1	4	0	8	0	1	2	90	167	3	0	57	44	0	57	1	1	34	22
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVb	2	7	7	46	0	25	11	0	0	1	44	80	10	0	1	3	0	305	34	11	0	5	7	38	2	0	1	3	3	30
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Coprococcus	0	2	26	0	119	1	22	463	5	0	14	9	0	0	42	1	116	53	108	38	0	42	21	31	0	0	113	0	94	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Dorea	0	3	4	8	215	13	2	36	4	2	1	12	52	0	11	0	167	46	0	260	0	11	4	152	3	0	75	0	70	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Howardella	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	4	0	31	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospiracea_incertae_sedis	130	28	259	874	51	34	64	190	274	13	129	383	1859	6	46	21	156	1070	250	349	1	155	208	1250	3	19	21	57	844	15
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Pseudobutyrivibrio	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	59	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Roseburia	14	1	171	303	253	87	26	2	60	87	27	31	77	0	35	3	34	153	0	85	3	36	1628	252	10	1	79	7	406	30
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Ruminococcus2	2	0	42	27	4	198	5	149	0	0	38	24	243	2	11	6	887	19	105	230	347	30	222	26	81	1	122	2	93	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Syntrophococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	29	0	14	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__	22	0	28	191	34	14	25	143	12	0	35	20	11	43	44	8	54	57	39	8	355	28	26	87	5	1	38	5	62	5
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Anaerofilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Butyricicoccus	1	10	1	37	1	3	10	1	4	0	12	8	4	1	32	4	8	32	8	57	0	0	7	14	0	0	1	1	19	11
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Clostridium_III	0	0	1	2	3	0	7	0	0	0	0	1	0	0	0	0	9	0	0	3	0	0	0	1	0	0	1	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Clostridium_IV	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	3	1	13	1	0	1	7	1	2	0	0	0	0	54
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Ethanoligenens	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Faecalibacterium	319	774	936	1847	133	726	1326	20	151	12	0	1043	1336	292	539	108	570	1319	0	486	0	480	59	3026	94	101	1322	694	4058	314
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Flavonifractor	0	0	1	3	1	0	0	0	0	0	5	1	0	0	0	0	0	0	9	5	0	0	2	0	3	0	0	0	1	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Gemmiger	7	0	7	65	7	3	4	17	2	0	13	7	11	17	9	1	15	13	0	0	0	2	12	16	0	0	19	4	12	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Oscillibacter	3	35	5	70	183	45	22	5	4	0	9	51	3	0	1	3	279	46	7	110	0	31	21	174	12	3	14	0	12	4
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Ruminococcus	0	0	0	0	0	1	0	3	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	4	0	1	2	0	0	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Sporobacter	0	0	0	0	206	4	12	9	0	0	0	0	0	0	2	1	130	18	0	5	0	27	21	22	8	0	3	0	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Catenibacterium	0	2	0	0	26	44	0	0	0	0	0	0	0	44	0	2	75	93	0	308	0	0	0	0	0	0	25	9	268	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Clostridium_XVIII	0	0	0	41	0	0	0	0	0	0	0	20	8	0	0	0	14	0	47	1	259	0	74	3	0	0	0	0	0	2
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Coprobacillus	0	4	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Erysipelotrichaceae_incertae_sedis	0	0	0	0	34	11	0	0	0	0	90	0	21	1	0	1	110	48	5	0	2	63	0	0	14	0	28	0	55	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Acidaminococcaceae._.g__	0	0	20	0	182	76	5	0	0	18	0	0	36	14	0	34	11	56	0	108	0	0	0	0	0	1	23	25	22	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Acidaminococcaceae._.g__Acidaminococcus	0	0	0	219	41	1	4	7	14	1	0	0	9	55	25	0	1	0	0	0	0	31	0	23	0	47	3	8	381	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Acidaminococcaceae._.g__Phascolarctobacterium	0	11	0	425	9	1	0	0	38	0	31	19	0	0	0	0	0	1	0	0	0	0	0	151	0	32	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__	0	0	0	0	0	127	0	1	0	0	0	0	0	0	39	9	0	145	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Dialister	19	0	4	0	23	6	0	2	3	0	0	0	1	0	153	1	21	0	0	1	1	1	0	0	2	0	496	1	251	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	145	0	0	0	0	0	6	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Megasphaera	0	0	3	0	201	1	0	29	15	9	0	0	0	9	62	0	9	0	0	21	0	1	0	91	1	18	356	16	230	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Mitsuokella	0	0	0	0	306	0	8	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	72	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Schwartzia	0	0	0	0	0	53	0	0	0	0	0	0	0	0	38	4	0	62	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Selenomonas	0	0	0	0	0	36	0	0	0	0	0	0	0	0	25	5	0	47	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	30	0	0	2	0	1	0	0	0	0
k__Bacteria._.p__Fusobacteria._.c__Fusobacteriia._.o__Fusobacteriales._.f__Fusobacteriaceae._.g__Clostridium_XIX	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Fusobacteria._.c__Fusobacteriia._.o__Fusobacteriales._.f__Fusobacteriaceae._.g__Fusobacterium	0	0	0	0	0	6	0	0	0	1700	0	72	0	0	0	11	0	3	0	145	0	0	0	0	0	1	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__._.o__._.f__._.g__	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Betaproteobacteria._.o__Burkholderiales._.f__Sutterellaceae._.g__Parasutterella	10	0	0	0	0	0	0	7	0	0	0	8	2	0	0	0	0	0	0	0	374	5	0	0	1	0	2	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Betaproteobacteria._.o__Burkholderiales._.f__Sutterellaceae._.g__Sutterella	0	0	4	0	0	10	7	0	7	12	47	0	0	57	0	4	1	3	0	8	0	0	0	5	0	15	0	20	0	0
k__Bacteria._.p__Proteobacteria._.c__Gammaproteobacteria._.o__Aeromonadales._.f__Succinivibrionaceae._.g__	0	0	0	0	18	1	0	0	0	3	0	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Gammaproteobacteria._.o__Aeromonadales._.f__Succinivibrionaceae._.g__Succinivibrio	0	0	0	0	334	3	0	0	0	4	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Gammaproteobacteria._.o__Enterobacteriales._.f__Enterobacteriaceae._.g__	0	0	0	0	0	0	0	10	0	0	0	0	0	10	1	0	1	0	7	0	7	0	0	0	0	0	1	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Gammaproteobacteria._.o__Enterobacteriales._.f__Enterobacteriaceae._.g__Cronobacter	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	45	0	32	0	0	1	0	0	23	0	0	0
k__Bacteria._.p__Synergistetes._.c__Synergistia._.o__Synergistales._.f__Synergistaceae._.g__Pyramidobacter	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
k__Bacteria._.p__Tenericutes._.c__Mollicutes._.o__._.f__._.g__	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
