# Constructed from biom file
#OTU ID	Bact89	Bact1z3z2R	Bact5z5z2	Bact3z5z2	Bact183	Bact3z1z2R	Bact1z2z2R	Bact3z4z2	Bact128	Bact3z5z2R	Bact3z3z2	Bact90	Bact197	Bact5z5z2R	Bact127	Bact175zFB	Bact5z1z2	Bact1z5z2	Bact101	Bact5z3z2	Bact3z4z2R	Bact198	Bact1z1z2	Bact180	Bact177	Bact192	Bact5z2z2R	Bact5z1z2R	Bact5z2z2	Bact181	Bact3z3z2R	Bact176	Bact86	Bact194	Bact3z2z2R	Bact5z3z2R	Bact5z4z2	Bact1z3z2	Bact105	Bact5z4z2R	Bact182	Bact196	Bact130	Bact87	Bact184	Bact102	Bact193	Bact103	Bact1z1z2R	Bact126	Bact195	Bact1z4z2	Bact3z1z2	Bact1z5z2R	Bact3z2z2	Bact1z4z2R	Bact190	Bact104	Bact88	Bact179	Bact191	Bact1z2z2	Bact178
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__uncultured	7.0	24.0	32.0	2.0	10.0	4.0	1.0	5.0	20.0	4.0	7.0	21.0	6.0	0.0	20.0	6.0	20.0	25.0	12.0	22.0	6.0	63.0	3.0	9.0	18.0	7.0	7.0	27.0	7.0	2.0	26.0	7.0	9.0	2.0	30.0	17.0	3.0	17.0	12.0	1.0	10.0	1.0	7.0	9.0	19.0	16.0	55.0	28.0	6.0	18.0	7.0	32.0	4.0	37.0	14.0	28.0	4.0	7.0	11.0	13.0	0.0	7.0	3.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);__	17.0	57.0	102.0	47.0	149.0	29.0	89.0	29.0	62.0	60.0	39.0	21.0	248.0	230.0	60.0	15.0	30.0	56.0	48.0	139.0	38.0	210.0	11.0	119.0	72.0	134.0	84.0	26.0	67.0	190.0	43.0	74.0	67.0	41.0	105.0	109.0	76.0	44.0	71.0	97.0	72.0	199.0	106.0	95.0	491.0	53.0	151.0	32.0	18.0	89.0	204.0	67.0	26.0	72.0	18.0	53.0	51.0	51.0	52.0	327.0	126.0	22.0	52.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Koribacteraceae;D_5__Candidatus Koribacter	12.0	22.0	22.0	9.0	29.0	11.0	30.0	9.0	8.0	6.0	13.0	11.0	46.0	32.0	20.0	37.0	2.0	20.0	22.0	16.0	9.0	38.0	9.0	20.0	8.0	47.0	15.0	5.0	15.0	34.0	9.0	15.0	11.0	26.0	31.0	11.0	14.0	12.0	22.0	51.0	20.0	45.0	12.0	25.0	28.0	10.0	63.0	16.0	5.0	18.0	44.0	38.0	5.0	33.0	32.0	31.0	13.0	11.0	10.0	36.0	52.0	10.0	17.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__bacterium Ellin5257	2.0	4.0	1.0	8.0	0.0	0.0	2.0	11.0	11.0	8.0	4.0	1.0	0.0	0.0	0.0	2.0	2.0	2.0	1.0	0.0	7.0	0.0	1.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	0.0	0.0	2.0	10.0	0.0	6.0	0.0	5.0	3.0	0.0	4.0	0.0	6.0	1.0	0.0	0.0	3.0	3.0	5.0	16.0	7.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__bacterium Ellin7529	3.0	18.0	5.0	33.0	0.0	1.0	22.0	0.0	7.0	32.0	7.0	1.0	0.0	0.0	2.0	0.0	2.0	12.0	4.0	9.0	2.0	0.0	4.0	6.0	5.0	4.0	0.0	5.0	1.0	0.0	8.0	1.0	6.0	6.0	11.0	6.0	8.0	12.0	3.0	0.0	3.0	1.0	1.0	0.0	0.0	9.0	12.0	3.0	1.0	1.0	2.0	23.0	1.0	22.0	4.0	14.0	12.0	18.0	0.0	0.0	8.0	1.0	1.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__bacterium K-5b2	10.0	3.0	8.0	3.0	12.0	4.0	13.0	11.0	32.0	4.0	3.0	9.0	3.0	1.0	17.0	81.0	2.0	9.0	4.0	12.0	4.0	1.0	6.0	16.0	7.0	5.0	4.0	8.0	1.0	10.0	11.0	10.0	0.0	1.0	3.0	6.0	0.0	0.0	6.0	3.0	13.0	4.0	19.0	0.0	5.0	9.0	5.0	3.0	9.0	15.0	0.0	5.0	0.0	9.0	2.0	9.0	3.0	4.0	15.0	2.0	4.0	16.0	7.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__uncultured Acidobacteriaceae bacterium	97.0	111.0	102.0	98.0	86.0	90.0	55.0	85.0	114.0	87.0	64.0	115.0	51.0	49.0	110.0	141.0	98.0	89.0	98.0	80.0	87.0	2.0	81.0	61.0	120.0	75.0	101.0	110.0	89.0	45.0	97.0	85.0	70.0	155.0	97.0	57.0	59.0	86.0	83.0	77.0	69.0	81.0	169.0	42.0	38.0	71.0	35.0	112.0	69.0	115.0	60.0	49.0	62.0	104.0	34.0	75.0	56.0	88.0	58.0	62.0	116.0	55.0	113.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__uncultured Holophaga sp.	17.0	32.0	20.0	32.0	32.0	15.0	27.0	34.0	11.0	41.0	24.0	2.0	29.0	35.0	51.0	6.0	8.0	36.0	6.0	59.0	34.0	3.0	6.0	33.0	5.0	47.0	42.0	12.0	33.0	22.0	9.0	11.0	17.0	21.0	12.0	69.0	10.0	23.0	34.0	67.0	7.0	19.0	15.0	14.0	13.0	5.0	11.0	22.0	18.0	27.0	71.0	63.0	14.0	82.0	97.0	67.0	13.0	25.0	28.0	5.0	40.0	8.0	14.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__uncultured bacterium DA038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__uncultured forest soil bacterium	40.0	8.0	35.0	49.0	17.0	69.0	1.0	78.0	74.0	60.0	13.0	56.0	5.0	5.0	58.0	0.0	72.0	10.0	36.0	168.0	53.0	0.0	96.0	10.0	68.0	17.0	63.0	68.0	63.0	0.0	22.0	32.0	47.0	33.0	27.0	94.0	54.0	14.0	32.0	0.0	35.0	6.0	81.0	14.0	5.0	19.0	2.0	61.0	69.0	52.0	4.0	12.0	55.0	19.0	41.0	11.0	32.0	96.0	26.0	27.0	42.0	18.0	29.0
